dead_line,name,primary_supervisor,project_description,project_link,supervisor_email
18 July 2022,3-D food printing,Dr Samantha Sawyer,"This project is to research factors that govern the quality of products that can be produced by 3D food printing for valorisation of food grade seconds and wastes. Regionally, lower grade food products such as mechanically recovered meats and second grade fruit and vegetables could be stabilised into feed streams for future food printing or other restructuring technologies. However, high-throughput commercial applications of 3D food printing will require feed streams that are stabilised and optimised for producing quality printed foods. Formulation, combined with food preservation systems, such as microwave assisted thermal sterilisation (MATS) or flow-through UHT will be required to make shelf-stable bulk food ingredients for 3D-food printing production lines.",https://www.utas.edu.au/research/degrees/available-projects/projects/agriculture/3-d-food-printing,Samantha.Sawyer@utas.edu.au
31 October 2022,Novel traits in future forests,Dr Rebecca Jones,Ensuring a productive future forest estate under changing climates is essential and vulnerability assessments indicate that climate change may have large consequences for sections of the future industry. There are opportunities to complement tools in the breeding of material to minimise threats.,https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/novel-traits-in-future-forests,https://www.utas.edu.au/profiles/staff/biological-sciences/Rebecca-Jones
18 July 2022,Mammal responses to forestry &amp; wildfire,A/Prof Sue Baker,"How to meet human needs for timber while limiting harm to biodiversity is an urgent scientific goal. This Australian Research Council funded PhD project will address this challenge by quantifying the impacts of forestry systems and wildfire on mammal species. This project will involve field-based camera trap surveys to quantify impacts of disturbance on the abundance of individual mammal species, looking at both alien-invasive and native species. Sample sites range across a disturbance gradient from unmanaged old-growth and recently fire-impacted sites, through to native forest logging and exotic species timber plantations. This will enable the most comprehensive analysis to date of logging system and wildfire impacts on mammalian biodiversity. Sophisticated modelling will integrate data on mammal frequencies with expected timber yield under the land sparing vs land sharing framework. This paradigm explicitly factors in trade-offs between the site-level intensity of forestry practices and the possible amount of reserves. Analysis will determine the landscape composition of reserves and forestry systems that best support native mammal communities for a given yield of timber.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/mammal-responses-to-forestry-and-wildfire,https://www.utas.edu.au/profiles/staff/biological-sciences/Sue-Baker
31 October 2022,Integrative genomic models for Eucalyptus globulus breeding,Professor Michael Charleston,About the Research Project:,https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/Integrative-genomic-models-for-Eucalyptus-globulus-breeding,https://www.utas.edu.au/profiles/staff/maths-physics/Michael-Charleston
18 July 2022,How do plants open up?,Dr Frances Sussmilch,"The evolution of the adjustable stomatal pore was a major event in the development of life on land. Stomatal opening enables plants to acquire carbon dioxide for photosynthesis and growth, while closure prevents excessive plant water loss. In flowering plants, stomata open to acquire CO2 in response to signals including blue and red light, low intracellular CO2, and the plant's internal timekeeper – the circadian clock. Circadian rhythms enable plants to predict and prepare for regular environmental changes including dawn and dusk.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/how-do-plants-open-up,https://www.utas.edu.au/profiles/staff/biological-sciences/Frances-Sussmilch
18 July 2022,Genetics of flowering time in chickpea,A/Prof Jim Weller,"Chickpea (Cicer arietinum) is an important grain legume crop and staple food throughout western Asia, northern Africa and the Indian subcontinent, and is a significant export crop for Australia.  The environmental control of phenology (the timing of flowering and related developmental changes) is a key factor underlying chickpea adaptation to different latitudinal, seasonal and climatic environments, both globally and locally. Although the genetic basis for flowering time is increasingly well understood in many crops, including legumes, little is known about the genes and genetic loci that control it in chickpea.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/genetics-of-flowering-time-in-chickpea,https://www.utas.edu.au/profiles/staff/biological-sciences/jim-weller
18 July 2022,"Fire risk, resilience &amp; treatment options",Dr Grant Williamson,"The Tasmanian population is at a high risk of impact from bushfire impact due to the highly flammable vegetation, changing climate, and dispersed population, with many suburbs and towns closely integrated into the natural environment. Fuel management and treatments, including prescribed burning, are carried out in order to reduce the risk and impact of fire on people and assets, but uncertainties remain about the effectiveness of these interventions and their acceptability to the public.","https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/fire-risk,-resilience-and-treatment-options",https://www.utas.edu.au/profiles/staff/biological-sciences/grant-williamson
18 July 2022,Evolution of plant cellular responses to water,Dr Frances Sussmilch,"The successful conquest of dry land by plants depended on the evolution of mechanisms to manage the acquisition and loss of water. These mechanisms are fundamentally important to plant success in nature and in agriculture. Plants must maintain the turgor of their cells in order to grow and retain the rigidity and structural integrity of tissues and organs, including leaves. Loss of cell turgor during water loss causes wilting, and at some critical point tissue death. Plants can increase cell turgor by increasing the concentration of salts and organic molecules to drive the uptake of water via osmosis. The capacity for a plant to maintain cell turgor pressure is vital for growth and is strongly correlated with drought tolerance.",https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/Evolution-of-plant-cellular-responses-to-water,https://www.utas.edu.au/profiles/staff/biological-sciences/Frances-Sussmilch
31 October 2022,The ecology and physiology of keeping hardwood plantations sustainable,Professor Mark Hovenden,The Project,https://www.utas.edu.au/research/degrees/available-projects/projects/biological-sciences/the-ecology-and-physiology-of-keeping-hardwood-plantations-sustainable,https://www.utas.edu.au/profiles/staff/biological-sciences/Mark-Hovenden
18 July 2022,Understanding the role of police in regional Australia,Prof Nicole Asquith,"Too often we assume to know what police do; yet, to date, there has been no Australian research undertaken to map exactly what police do in their everyday duties. While Tasmania Police officers are compelled by the Tasmanian Government to undertake the core tasks of criminal investigation, public order maintenance, emergency management, and traffic policing, anecdotal evidence suggests that they do much more, and many of these non-core duties may be more appropriately assigned to other frontline services. These secondary tasks are often undertaken by police with limited training and resourcing, and with limited consideration of the vicarious trauma and mental fatigue associated with this work. In this collaborative project between the Tasmanian Institute of Law Enforcement Studies, The Police Association of Tasmania, and Tasmania Police, candidates will work closely with frontline police to map their duties, investigate the wellbeing of officers, and to consider what, if any, solutions can be offered to redirect tasks that are better addressed by community organisations, businesses, and other public servants.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/understanding-the-role-of-police-in-regional-australia,https://www.utas.edu.au/profiles/staff/tiles/nicole-asquith
18 July 2022,The History of Forensic Science,Dr Vicky Nagy,"Forensic science includes various disciplines such as fingerprint and DNA analyses that have developed within specific socio-historical contexts. Forensic studies, as an emerging field, is the critical examination of forensic science as an object of study, usually through the lens of social science. Although a great deal of research has examined recent scandals in the use of forensic science, limited research has traced the development of forensic science within the social, political, and cultural contexts of Australia.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/the-history-of-forensic-science,https://www.utas.edu.au/profiles/staff/social-sciences/vicky-nagy
18 July 2022,Sustainable Food Systems,Prof Fred Gale,"There is significant and growing interest in transitioning our current high-input, high-output food system that delivers massive quantities of low-cost food at a significant cost to the environment and peoples’ health to one that is much more sustainable. This has spawned a huge number of alternative food movements including in Slow Food, Organics, Permaculture, Local Food, Indigenous Food Sovereignty, Community Supported Agriculture, Veganism, Vegetarianism, Free Range, Food Hubs and Farmers’ Markets. Tasmania, already noted for its world-class food, is an idea place to study these issues—especially as the state engages in its own processes of transition.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/sustainable-food-systems,https://www.utas.edu.au/profiles/staff/politics-and-international-relations/fred-gale
18 July 2022,Social licence in onshore lobster aquaculture,A/Prof Vaughan Higgins,"This PhD project will examine how 'social licence' is relevant and can be gained in the development of a commercial onshore lobster aquaculture industry in Australia. The candidate will investigate the enablers and barriers to social licence by undertaking qualitative research on social licence issues and approaches within different Australian commercial onshore aquaculture systems. Through this research, the candidate will develop a framework of commonalities and differences in relation to social licence priorities, drivers and approaches that onshore lobster industry stakeholders need to take into account in developing a robust social licence to operate.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/social-licence-in-onshore-lobster-aquaculture,https://www.utas.edu.au/profiles/staff/sociology/vaughan-higgins
18 July 2022,Plastic Pollution Governance in Antarctica,Dr Joanna Vince,"This PhD project examines the plastic pollution problem in the Antarctic and Southern Ocean regions, the current governance measures for dealing with plastic pollution through the Antarctic Treaty System (ATS), and other broader global governance arrangements.",https://www.utas.edu.au/research/degrees/available-projects/projects/social-sciences/governance-solutions-to-plastic-pollution-in-antarctica,https://www.utas.edu.au/profiles/staff/social-sciences/joanna-vince
